source_state,target_state,weight
Colorado,Maryland,0.0040244758708128155
Colorado,Massachusetts,2.435162996112457e-08
Colorado,Michigan,0.0006393884390302426
Colorado,Minnesota,0.002991662791443075
Colorado,Mississippi,0.000189843357172931
Colorado,Missouri,0.00023826167784625425
Colorado,Montana,0.0005612239214157821
Colorado,Nebraska,5.425658910315897e-05
Colorado,Nevada,0.004218201272772324
Colorado,New_Hampshire,1.637769360072304e-11
Colorado,New_Jersey,1.607441701561126e-05
Colorado,New_Mexico,0.0035697457481513725
Colorado,New_York,0.008447949274627893
Colorado,North_Carolina,0.001218637789444656
Colorado,North_Dakota,0.00017345564397490325
Colorado,Ohio,0.003172670005437984
Colorado,Oklahoma,0.0010378569858201599
Colorado,Oregon,0.0014226483327729829
Colorado,Pennsylvania,1.73438339175172e-05
Colorado,Rhode_Island,9.794278894282831e-11
Colorado,South_Carolina,0.0008839708801043074
Colorado,South_Dakota,3.951132088248024e-06
Colorado,Tennessee,2.058213616684616e-08
Colorado,Texas,0.020645183944108757
Colorado,Utah,0.004229601662631123
Colorado,Vermont,9.292326653767136e-05
Colorado,Virginia,0.0010553438174592806
Colorado,Washington,0.0031235988252884344
Colorado,West_Virginia,2.8251207431325783e-05
Colorado,Wisconsin,0.0013866676632754242
Colorado,Wyoming,0.00013002155609692125
Connecticut,Alabama,7.141234829180821e-05
Connecticut,Alaska,1.6805057767356642e-05
Connecticut,Arizona,0.00019048675141989028
Connecticut,Arkansas,3.0192773216064033e-05
Connecticut,California,0.0006973068942351228
Connecticut,Colorado,0.0002472903704070118
Connecticut,Connecticut,0.9912868526626358
Connecticut,Delaware,7.127629123538518e-06
Connecticut,Florida,0.0034374666604593505
Connecticut,Georgia,4.2279853624609244e-05
Connecticut,Hawaii,3.311850842872843e-05
Connecticut,Idaho,1.831473658790932e-05
Connecticut,Illinois,4.2864892139081565e-05
Connecticut,Indiana,0.00014029033139381728
Connecticut,Iowa,5.412631478038417e-05
Connecticut,Kansas,4.9544827258424264e-05
Connecticut,Kentucky,2.5995252059936153e-05
Connecticut,Louisiana,0.00010616997294510696
Connecticut,Maine,6.941290507836167e-06
Connecticut,Maryland,0.0007161291194015584
Connecticut,Massachusetts,1.8092512160401417e-10
Connecticut,Michigan,5.0584647794610856e-05
Connecticut,Minnesota,0.00020082702265541755
Connecticut,Mississippi,1.1234124806729963e-05
Connecticut,Missouri,1.104534863725968e-05
Connecticut,Montana,1.8566847769832865e-05
Connecticut,Nebraska,3.808073361730485e-06
Connecticut,Nevada,0.0002451769341632187
Connecticut,New_Hampshire,4.872497623992531e-13
Connecticut,New_Jersey,9.549166775456527e-06
Connecticut,New_Mexico,3.623513257569812e-05
Connecticut,New_York,0.00020304926208394804
Connecticut,North_Carolina,0.00023400068909134344
